Estimating norm scaling factor: 100%|██████████| 1000/1000 [01:06<00:00, 15.15it/s]
4600| l1_loss: 0.00000 | mse_loss: 46.68287:  57%|█████▊    | 2355200/4096000 [17:18<10:42, 2709.46it/s]
                                                               
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0011771559206856135, 'ce_loss_with_ablation': 8.3441743850708, 'ce_loss_with_sae': 8.3511381149292, 'ce_loss_without_sae': 2.428450107574463}, 'reconstruction_quality': {'explained_variance': -0.001027194783091545, 'mse': 29.768178939819336, 'cossim': 0.32203105092048645}, 'shrinkage': {'l2_norm_in': 51.4463005065918, 'l2_norm_out': 0.0023535822983831167, 'l2_ratio': 5.969674020889215e-05, 'relative_reconstruction_bias': 0.008917339146137238}, 'sparsity': {'l0': 17.122461318969727, 'l1': 0.37575563788414}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.03202860139635871, 'ce_loss_with_ablation': 8.263566970825195, 'ce_loss_with_sae': 8.459053039550781, 'ce_loss_without_sae': 2.1600825786590576}, 'reconstruction_quality': {'explained_variance': -0.0049378094263374805, 'mse': 29.525686264038086, 'cossim': 0.28859591484069824}, 'shrinkage': {'l2_norm_in': 51.49091720581055, 'l2_norm_out': 0.02804182842373848, 'l2_ratio': 0.0007664660806767642, 'relative_reconstruction_bias': 0.0025085576344281435}, 'sparsity': {'l0': 0.05781250074505806, 'l1': 0.0007011298439465463}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0649523518370566, 'ce_loss_with_ablation': 7.926191806793213, 'ce_loss_with_sae': 8.290706634521484, 'ce_loss_without_sae': 2.314157485961914}, 'reconstruction_quality': {'explained_variance': -0.06022569537162781, 'mse': 23.8114013671875, 'cossim': 0.3002626299858093}, 'shrinkage': {'l2_norm_in': 47.58201217651367, 'l2_norm_out': 0.029889440163969994, 'l2_ratio': 0.0008510809275321662, 'relative_reconstruction_bias': 0.0026676033157855272}, 'sparsity': {'l0': 0.009570312686264515, 'l1': 5.957743996987119e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.04569658857978972, 'ce_loss_with_ablation': 8.118090629577637, 'ce_loss_with_sae': 8.38874340057373, 'ce_loss_without_sae': 2.195268392562866}, 'reconstruction_quality': {'explained_variance': -0.00894215889275074, 'mse': 28.90839195251465, 'cossim': 0.29418036341667175}, 'shrinkage': {'l2_norm_in': 51.11952209472656, 'l2_norm_out': 0.03191663697361946, 'l2_ratio': 0.0008803062373772264, 'relative_reconstruction_bias': 0.0028206852730363607}, 'sparsity': {'l0': 0.0062500000931322575, 'l1': 6.407055479940027e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.047120303711611744, 'ce_loss_with_ablation': 8.427742958068848, 'ce_loss_with_sae': 8.709226608276367, 'ce_loss_without_sae': 2.454019784927368}, 'reconstruction_quality': {'explained_variance': -0.01226185541599989, 'mse': 29.156539916992188, 'cossim': 0.2932949960231781}, 'shrinkage': {'l2_norm_in': 51.18797302246094, 'l2_norm_out': 0.03369003161787987, 'l2_ratio': 0.0009227723930962384, 'relative_reconstruction_bias': 0.0029777083545923233}, 'sparsity': {'l0': 0.0033203125931322575, 'l1': 2.2133132006274536e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.05312697206042804, 'ce_loss_with_ablation': 8.402118682861328, 'ce_loss_with_sae': 8.720315933227539, 'ce_loss_without_sae': 2.412745714187622}, 'reconstruction_quality': {'explained_variance': -0.011880415491759777, 'mse': 28.741596221923828, 'cossim': 0.2896164357662201}, 'shrinkage': {'l2_norm_in': 50.811397552490234, 'l2_norm_out': 0.035437483340501785, 'l2_ratio': 0.0009745992720127106, 'relative_reconstruction_bias': 0.0031831003725528717}, 'sparsity': {'l0': 0.0625, 'l1': 3.586055390769616e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.04921118500789534, 'ce_loss_with_ablation': 8.146868705749512, 'ce_loss_with_sae': 8.445281982421875, 'ce_loss_without_sae': 2.0829367637634277}, 'reconstruction_quality': {'explained_variance': -0.007231706287711859, 'mse': 28.934606552124023, 'cossim': 0.2918393313884735}, 'shrinkage': {'l2_norm_in': 51.494747161865234, 'l2_norm_out': 0.03701585531234741, 'l2_ratio': 0.0010116547346115112, 'relative_reconstruction_bias': 0.0032694998662918806}, 'sparsity': {'l0': 0.0003906250058207661, 'l1': 1.3859724958820152e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.06406047323231688, 'ce_loss_with_ablation': 8.202306747436523, 'ce_loss_with_sae': 8.591728210449219, 'ce_loss_without_sae': 2.123340368270874}, 'reconstruction_quality': {'explained_variance': -0.006648716516792774, 'mse': 29.367130279541016, 'cossim': 0.29132792353630066}, 'shrinkage': {'l2_norm_in': 51.3676643371582, 'l2_norm_out': 0.038757890462875366, 'l2_ratio': 0.0010627759620547295, 'relative_reconstruction_bias': 0.0034477890003472567}, 'sparsity': {'l0': 0.0005859375232830644, 'l1': 2.4077639864117373e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.05439821621984549, 'ce_loss_with_ablation': 8.009419441223145, 'ce_loss_with_sae': 8.33336067199707, 'ce_loss_without_sae': 2.05442214012146}, 'reconstruction_quality': {'explained_variance': 0.0019305646419525146, 'mse': 29.278913497924805, 'cossim': 0.2947254478931427}, 'shrinkage': {'l2_norm_in': 51.3529052734375, 'l2_norm_out': 0.0404011495411396, 'l2_ratio': 0.0011226373026147485, 'relative_reconstruction_bias': 0.003571540815755725}, 'sparsity': {'l0': 0.00019531250291038305, 'l1': 2.8933702651556814e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.05790995802222779, 'ce_loss_with_ablation': 8.16748046875, 'ce_loss_with_sae': 8.498970031738281, 'ce_loss_without_sae': 2.4432566165924072}, 'reconstruction_quality': {'explained_variance': -0.010995231568813324, 'mse': 28.596149444580078, 'cossim': 0.2933526933193207}, 'shrinkage': {'l2_norm_in': 51.32032012939453, 'l2_norm_out': 0.041811298578977585, 'l2_ratio': 0.0011440414236858487, 'relative_reconstruction_bias': 0.003674341831356287}, 'sparsity': {'l0': 0.0029296875, 'l1': 1.6992065866361372e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09810042262723044, 'ce_loss_with_ablation': 7.681670665740967, 'ce_loss_with_sae': 8.20931625366211, 'ce_loss_without_sae': 2.3030436038970947}, 'reconstruction_quality': {'explained_variance': -0.06109504774212837, 'mse': 23.732219696044922, 'cossim': 0.2994178831577301}, 'shrinkage': {'l2_norm_in': 47.295326232910156, 'l2_norm_out': 0.04327373579144478, 'l2_ratio': 0.0012381784617900848, 'relative_reconstruction_bias': 0.0038956236094236374}, 'sparsity': {'l0': 0.009570312686264515, 'l1': 8.612419151177164e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0974771635438101, 'ce_loss_with_ablation': 7.7107343673706055, 'ce_loss_with_sae': 8.243106842041016, 'ce_loss_without_sae': 2.2492246627807617}, 'reconstruction_quality': {'explained_variance': -0.013368993997573853, 'mse': 28.231481552124023, 'cossim': 0.2944100499153137}, 'shrinkage': {'l2_norm_in': 50.48548126220703, 'l2_norm_out': 0.04463040456175804, 'l2_ratio': 0.0012430137721821666, 'relative_reconstruction_bias': 0.003973363433033228}, 'sparsity': {'l0': 0.0003906250058207661, 'l1': 2.4637420210638084e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08078823298195302, 'ce_loss_with_ablation': 8.233386993408203, 'ce_loss_with_sae': 8.70881175994873, 'ce_loss_without_sae': 2.348560094833374}, 'reconstruction_quality': {'explained_variance': -0.005981143098324537, 'mse': 29.260595321655273, 'cossim': 0.28964686393737793}, 'shrinkage': {'l2_norm_in': 51.34831619262695, 'l2_norm_out': 0.04590768739581108, 'l2_ratio': 0.0012568467063829303, 'relative_reconstruction_bias': 0.004099945537745953}, 'sparsity': {'l0': 0.1455078125, 'l1': 0.0013379757292568684}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.0855903873588092, 'ce_loss_with_ablation': 8.403114318847656, 'ce_loss_with_sae': 8.915611267089844, 'ce_loss_without_sae': 2.415328025817871}, 'reconstruction_quality': {'explained_variance': -0.013054120354354382, 'mse': 28.767789840698242, 'cossim': 0.2903127670288086}, 'shrinkage': {'l2_norm_in': 51.14436721801758, 'l2_norm_out': 0.04694458097219467, 'l2_ratio': 0.001281588221900165, 'relative_reconstruction_bias': 0.0041772061958909035}, 'sparsity': {'l0': 0.02558593824505806, 'l1': 0.0001923707313835621}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.10357315667273019, 'ce_loss_with_ablation': 7.830250263214111, 'ce_loss_with_sae': 8.405506134033203, 'ce_loss_without_sae': 2.2761483192443848}, 'reconstruction_quality': {'explained_variance': -0.007998286746442318, 'mse': 28.722217559814453, 'cossim': 0.294893741607666}, 'shrinkage': {'l2_norm_in': 51.337623596191406, 'l2_norm_out': 0.04790892079472542, 'l2_ratio': 0.0013168045552447438, 'relative_reconstruction_bias': 0.0042051407508552074}, 'sparsity': {'l0': 0.0007812500116415322, 'l1': 7.427719083352713e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09157535139075414, 'ce_loss_with_ablation': 8.02747917175293, 'ce_loss_with_sae': 8.55846118927002, 'ce_loss_without_sae': 2.2291719913482666}, 'reconstruction_quality': {'explained_variance': -0.03176441788673401, 'mse': 26.30106544494629, 'cossim': 0.2972662150859833}, 'shrinkage': {'l2_norm_in': 49.40562438964844, 'l2_norm_out': 0.04900355264544487, 'l2_ratio': 0.0013715997338294983, 'relative_reconstruction_bias': 0.004342264961451292}, 'sparsity': {'l0': 0.013476562686264515, 'l1': 0.00011266119690844789}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.07734145067949913, 'ce_loss_with_ablation': 8.313871383666992, 'ce_loss_with_sae': 8.796457290649414, 'ce_loss_without_sae': 2.0741913318634033}, 'reconstruction_quality': {'explained_variance': 0.0017259195446968079, 'mse': 29.818771362304688, 'cossim': 0.29267770051956177}, 'shrinkage': {'l2_norm_in': 51.79169845581055, 'l2_norm_out': 0.05016576126217842, 'l2_ratio': 0.0013749644858762622, 'relative_reconstruction_bias': 0.004427596926689148}, 'sparsity': {'l0': 0.00019531250291038305, 'l1': 2.5831948278209893e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1088185920068819, 'ce_loss_with_ablation': 7.813258171081543, 'ce_loss_with_sae': 8.409692764282227, 'ce_loss_without_sae': 2.332259178161621}, 'reconstruction_quality': {'explained_variance': -0.0649600401520729, 'mse': 23.211286544799805, 'cossim': 0.3005116581916809}, 'shrinkage': {'l2_norm_in': 47.02543258666992, 'l2_norm_out': 0.05125030502676964, 'l2_ratio': 0.001466179615817964, 'relative_reconstruction_bias': 0.004604130517691374}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08519983265143025, 'ce_loss_with_ablation': 8.213850021362305, 'ce_loss_with_sae': 8.704867362976074, 'ce_loss_without_sae': 2.4507243633270264}, 'reconstruction_quality': {'explained_variance': -0.011028101667761803, 'mse': 28.583999633789062, 'cossim': 0.2921188771724701}, 'shrinkage': {'l2_norm_in': 50.968849182128906, 'l2_norm_out': 0.052240658551454544, 'l2_ratio': 0.0014344872906804085, 'relative_reconstruction_bias': 0.004650916438549757}, 'sparsity': {'l0': 0.00019531250291038305, 'l1': 6.55740706179131e-08}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.12578507801430167, 'ce_loss_with_ablation': 7.846291542053223, 'ce_loss_with_sae': 8.542704582214355, 'ce_loss_without_sae': 2.309760093688965}, 'reconstruction_quality': {'explained_variance': -0.05657050758600235, 'mse': 23.88515281677246, 'cossim': 0.29874759912490845}, 'shrinkage': {'l2_norm_in': 47.49130630493164, 'l2_norm_out': 0.05319128558039665, 'l2_ratio': 0.0015148664824664593, 'relative_reconstruction_bias': 0.004779154900461435}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.07277582582878396, 'ce_loss_with_ablation': 8.166810989379883, 'ce_loss_with_sae': 8.593957901000977, 'ce_loss_without_sae': 2.297459363937378}, 'reconstruction_quality': {'explained_variance': -0.009932334534823895, 'mse': 29.70462417602539, 'cossim': 0.2964082658290863}, 'shrinkage': {'l2_norm_in': 51.4398078918457, 'l2_norm_out': 0.054064881056547165, 'l2_ratio': 0.0014789323322474957, 'relative_reconstruction_bias': 0.004724755883216858}, 'sparsity': {'l0': 0.0021484375465661287, 'l1': 3.204650784027763e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.1271251974567553, 'ce_loss_with_ablation': 7.948840618133545, 'ce_loss_with_sae': 8.66405963897705, 'ce_loss_without_sae': 2.3227410316467285}, 'reconstruction_quality': {'explained_variance': -0.04796856269240379, 'mse': 25.075666427612305, 'cossim': 0.3024498522281647}, 'shrinkage': {'l2_norm_in': 47.96052169799805, 'l2_norm_out': 0.05487804487347603, 'l2_ratio': 0.001569353393279016, 'relative_reconstruction_bias': 0.004890966694802046}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09044954852352295, 'ce_loss_with_ablation': 8.111337661743164, 'ce_loss_with_sae': 8.62385082244873, 'ce_loss_without_sae': 2.445050001144409}, 'reconstruction_quality': {'explained_variance': -0.010048331692814827, 'mse': 29.34506607055664, 'cossim': 0.2990795373916626}, 'shrinkage': {'l2_norm_in': 50.98683166503906, 'l2_norm_out': 0.055624641478061676, 'l2_ratio': 0.0015376609517261386, 'relative_reconstruction_bias': 0.004859643056988716}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08328163034954718, 'ce_loss_with_ablation': 8.08872127532959, 'ce_loss_with_sae': 8.561439514160156, 'ce_loss_without_sae': 2.412580728530884}, 'reconstruction_quality': {'explained_variance': -0.011330007575452328, 'mse': 28.98650550842285, 'cossim': 0.3002590537071228}, 'shrinkage': {'l2_norm_in': 51.00596237182617, 'l2_norm_out': 0.05631706863641739, 'l2_ratio': 0.0015586304944008589, 'relative_reconstruction_bias': 0.004899469204246998}, 'sparsity': {'l0': 0.0, 'l1': 0.0}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08624620955284544, 'ce_loss_with_ablation': 8.158026695251465, 'ce_loss_with_sae': 8.682944297790527, 'ce_loss_without_sae': 2.0717580318450928}, 'reconstruction_quality': {'explained_variance': -0.05926233530044556, 'mse': 23.6357479095459, 'cossim': 0.3011699616909027}, 'shrinkage': {'l2_norm_in': 47.47590255737305, 'l2_norm_out': 0.05694688484072685, 'l2_ratio': 0.001619680435396731, 'relative_reconstruction_bias': 0.005071713123470545}, 'sparsity': {'l0': 0.006640625186264515, 'l1': 5.899151074117981e-05}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.08531328329717021, 'ce_loss_with_ablation': 8.258429527282715, 'ce_loss_with_sae': 8.784506797790527, 'ce_loss_without_sae': 2.092012643814087}, 'reconstruction_quality': {'explained_variance': -0.00043067216756753623, 'mse': 30.016712188720703, 'cossim': 0.2974095344543457}, 'shrinkage': {'l2_norm_in': 51.5178337097168, 'l2_norm_out': 0.05757005885243416, 'l2_ratio': 0.0015865244204178452, 'relative_reconstruction_bias': 0.0050406563095748425}, 'sparsity': {'l0': 0.011132813058793545, 'l1': 0.00014626602933276445}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
sae_trainer.py:348 {'model_performance_preservation': {'ce_loss_score': -0.09584092069731519, 'ce_loss_with_ablation': 8.135152816772461, 'ce_loss_with_sae': 8.712179183959961, 'ce_loss_without_sae': 2.1144847869873047}, 'reconstruction_quality': {'explained_variance': -0.003328541060909629, 'mse': 29.291250228881836, 'cossim': 0.29623767733573914}, 'shrinkage': {'l2_norm_in': 51.523475646972656, 'l2_norm_out': 0.058090854436159134, 'l2_ratio': 0.00159683998208493, 'relative_reconstruction_bias': 0.005079863127321005}, 'sparsity': {'l0': 0.0234375, 'l1': 6.009775006532436e-06}, 'token_stats': {'total_tokens_eval_reconstruction': 5120, 'total_tokens_eval_sparsity_variance': 5120}}
