id,title
Q216852,thyroxine
Q1758037,speaker
Q194120,photoresistor
Q208145,iconography
Q190272,bill of lading
Q662860,smoking
Q128758,satire
Q185142,initial public offering
Q542952,left and right
Q6368,web browser
Q5367,motorsport
Q4260475,medical facility
Q949973,wage labor
Q799,wisdom
Q4817,column
Q1150070,change
Q191345,pentatonic scale
Q11756,prehistory
Q853854,clock tower
Q9143,programming language
Q76092,glam rock
Q43450,gymnastics
Q36534,chemical reaction
Q107410,hypocenter
Q1130265,hydraulic engineering
Q11415,strong interaction
Q650241,financial institution
Q1889,diplomacy
Q27686,hotel
Q6147804,cap
Q7863403,underpants
Q2249305,wheat flour
Q327954,torch
Q407758,glyceride
Q183576,flywheel
Q146728,water wheel
Q152841,puddle
Q183319,tuber
Q208218,patch
Q13629441,electric vehicle
Q192504,tweezers
Q124407,type-1 diabetes
Q376717,Eurocentrism
Q103896,compass
Q194281,prairie
Q1124595,bar chart
Q193592,midfielder
Q52107,physical geography
Q623149,billboard
Q177974,standard atmosphere
Q2920921,management
Q590870,cinematography
Q1479995,customary law
Q355217,time management
Q8347,bagpipe
Q190539,discourse
Q190995,essence
Q9471,epistemology
Q2334719,legal case
Q1418287,goat milk
Q3294789,magnetism
Q37159,milkshake
Q1650562,phytotherapy
Q189233,throne
Q93288,contract
Q175805,semiconductor device
Q13233,ice cream
Q162378,grammatical gender
Q187082,ovulation
Q23702413,diatonic
Q5781808,back pain
Q7138926,parliament building
Q2467461,academic department
Q157833,embezzlement
Q238354,video conference
Q173523,geometric progression
Q2661322,vapor pressure
Q190688,shock wave
Q184558,absolute monarchy
Q172280,ideal gas
Q187117,lobbying
Q7194062,flying machine
Q10693,periodic table
Q24699794,museum building
Q327197,legal transaction
Q1166072,financial transaction
Q131406,denial-of-service attack
Q27939,singing
Q3394849,reaction rate
Q80091,integral
Q18342738,public speaking
Q1194369,first ascent
Q169480,native species
Q186361,punishment
Q2647467,non-alcoholic beverage
Q2703,epoch
Q215677,half marathon
Q197536,deep learning
Q128,Wednesday
Q525512,pathogen transmission
Q191081,logical conjunction
Q182854,molecular mass
Q38033430,class of award
Q62500,ionic bond
Q18560095,winner
Q472953,trepanning
Q4200410,imprinter
Q57143,power metal
Q752401,least developed countries
Q181970,archaism
Q625581,conditional
Q126818,dimensionless quantity
Q21802675,adventure fiction
Q179635,heat transfer
Q58339,disco
Q164573,subject
Q1210980,sponge
Q44337,matrix
Q41364,wavelength
Q217901,capitulation
Q18535,allegory
Q316671,diopside
Q11276,globular cluster
Q18335,radiation
Q244330,hinge
Q15773317,television character
Q2285706,head of government
Q1921606,keyboard
Q127956,microwave oven
Q2483208,social security
Q215680,tectonic plate
Q180472,adoption
Q329547,motion of no confidence
Q1251403,alley
Q854531,real analysis
Q186424,detective fiction
Q461524,fan fiction
Q1326621,electric light
Q43501,zoo
Q501862,blender
Q472251,geosynchronous orbit
Q269323,natural philosophy
Q178433,lexicology
Q1898583,marines
Q19862406,business activity
Q213283,diplomatic mission
Q574491,bruise
Q1554231,resource
Q200253,traditional Chinese medicine
Q492886,supply chain management
Q21714344,first person
Q43436,pearl
Q623,carbon
Q11348,function
Q719375,operand
Q188989,aquaculture
Q657304,visiting card
Q47844,landscape architecture
Q207137,curriculum
Q372765,credit rating
Q121594,professor
Q37517,class
Q93196,Bollywood
Q185813,identity element
Q875538,public university
Q165107,beehive
Q101017,distillation
Q131214,antenna
Q1986893,neighbor
Q919283,hemopoiesis
Q156744,wartime collaboration
Q108193,electrical resistivity
Q64861,transitive relation
Q468756,shore
Q4989906,monument
Q185981,rotation period
Q1196129,spouse
Q2739329,square matrix
Q190122,promissory note
Q35820,Wright brothers
Q134556,single
Q203788,chariot
Q79721,dot-com bubble
Q1668024,service on Internet
Q191086,jungle
Q38066,existentialism
Q673661,abstraction
Q325358,railway platform
Q28564,public library
Q216851,skerry
Q10971235,cushion
Q56061,administrative territorial entity
Q10648343,duo
Q36244,vowel
Q196668,artistic inspiration
Q191154,surfactant
Q192760,fundamental theorem of algebra
Q152964,potato salad
Q190729,ilmenite
Q1254933,astronomical observatory
Q208281,fire engine
Q43806,invertebrate
Q245133,Wheatstone bridge
Q3688975,side dish
Q503129,chocolate brownie
Q1414135,rolling stock
Q1071027,full name
Q477248,pastry
Q22716,imperative
Q10884,tree
Q272167,shoegaze
Q34876,province
Q13179,raspberry
Q4590598,frost
Q1138571,renewable resource
Q160184,flatulence
Q816425,surveying
Q170963,virtual private network
Q171038,softball
Q82580,friction
Q422772,nitro compound
Q10711424,state with limited recognition
Q782543,graphical user interface
Q193846,wave equation
Q192891,holism
Q194361,ethanol fuel
Q201666,cavitation
Q80083,humanities
Q4116214,accounting
Q178048,bus
Q47461344,written work
Q319224,cargo
Q19097,sect
Q175022,digital signal
Q207522,probability density function
Q506259,direct action
Q581776,boulder
Q1455,field hockey
Q332734,absolutive case
Q47848,sacred architecture
Q204570,information entropy
Q42297,analysis of variance
Q36180,writer
Q1107,anime
Q465608,nuclear membrane
Q742385,white chocolate
Q34749,social science
Q5151,month
Q1052281,trans woman
Q9149093,mountaineer
Q212357,flagship
Q844240,computer vision
Q498902,drug withdrawal
Q205049,world music
Q23404,anthropology
Q223694,war elephant
Q900189,HPV vaccine
Q131212,text editor
Q193086,halide
Q215402,cosmopolitan distribution
Q182940,dessert
Q193842,geological map
Q3972282,elder brother
Q157165,creditor
Q510662,ring road
Q274116,plum pudding model
Q1823479,lighting designer
Q7246,unicorn
Q662729,public figure
Q552456,thermoelectric effect
Q1368367,cultural identity
Q731988,vehicle frame
Q104493,risk
Q3895768,fictional location
Q15706911,fictional object
Q83588,chemical engineering
Q618779,award
Q3403377,niece
Q189049,ethnocentrism
Q722218,label
Q159377,lockout
Q821952,oil lamp
Q660910,neurophysiology
Q104962,hypotenuse
Q16389557,philosopher of science
Q900396,ethnogenesis
Q62927,digital camera
Q1298668,science project
Q63391344,antimicrobial resistance
Q58854,literary criticism
Q82,printer
Q321,Milky Way
Q214252,stable
Q41298,magazine
Q772547,armed forces
Q163446,carpet
Q15290,good
Q653197,rash
Q7950,plate tectonics
Q20026619,USB-C
Q227467,atomic clock
Q50769,pyrite
Q191768,pork
Q1072012,internationality
Q49718,crankshaft
Q468469,seabed
Q862228,Raman spectroscopy
Q281111,ghazal
Q213714,bluegrass music
Q249,wireless communication
Q1663630,self-loading firearm
Q216227,state of emergency
Q551835,physician writer
Q1097498,ruler
Q5855,blue giant
Q1334738,international standard
Q156849,sewer network
Q3240715,crater
Q190868,boot
Q12187,antibiotic
Q327115,corn flakes
Q2979,liberty
Q29514218,child
Q246128,cytogenetics
Q188008,dyspnea
Q1251441,leader
Q29476,baking powder
Q58363586,narrator
Q480498,impeachment
Q170406,rhythm
Q707125,threat
Q131734,brewery
Q5579696,Golden Palace
Q219715,restriction enzyme
Q600396,fish as food
Q3578589,environmentalist
Q121713,acupuncture
Q324939,litotes
Q2088357,musical ensemble
Q218616,proprietary software
Q159344,heterotroph
Q921099,boundary marker
Q1297822,copyright
Q11567,complex number
Q389844,membrane potential
Q120877,cloning
Q239509,extinct in the wild
Q327029,mechanic
Q8161,tax
Q207333,honor
Q12518,tower
Q110079,chessboard
Q47146,user interface
Q11371,internet service provider
Q6241,patriotism
Q733786,monk
Q206287,quotation
Q30515,slogan
Q191851,vase
Q846750,jockey
Q1095194,circumlocution
Q35273,optical telescope
Q207452,ship of the line
Q104555,ruler
Q200125,expectation
Q2424752,product
Q255615,code-switching
Q10943,cheese
Q80005,fern
Q796194,medical procedure
Q327353,system administrator
Q7382648,majority
Q203066,relation
Q5320,electrical switch
Q301897,bow
Q193942,immortality
Q459381,literary theory
Q179132,speleology
Q211067,conflict of interest
Q746549,dish
Q209789,burping
Q3502482,cultural region
Q820655,statute
Q193603,ontogeny
Q132814,evaporation
Q7174,democracy
Q620462,thanatology
Q1053956,bead
Q495430,general staff
Q20899,podcast
Q7695,march
Q371090,blind spot
Q143680,dental implant
Q208164,puppet state
Q38883,cooper
Q235544,flame
Q663,aluminium
Q4220917,film award
Q190979,arachnology
Q565858,smoke detector
Q4785,nest
Q271439,elongation
Q4022,river
Q86483,Black Friday
Q178995,HTTP cookie
Q83931,locust
Q455595,amateur
Q933949,milking
Q14915627,musicologist
Q2751034,mouse
Q513550,hermitage
Q167510,bitumen
Q207079,slate
Q1706722,research fellow
Q1436734,adventure
Q43261,horizon
Q1072326,summit
Q3596097,tomato sauce
Q3241121,milligram
Q13473501,collective
Q1098,uranium
Q60186,meteorite
Q402563,maple syrup
Q11427,steel
Q32738,microcomputer
Q1569495,lecturer
Q331795,patrol vessel
Q3154693,city council
Q837721,typesetting
Q189996,multimeter
Q865422,video game controller
Q204606,cyberspace
Q48013,ounce
Q208511,global city
Q3472273,bathroom facilities
Q33442,idealism
Q925,mercury
Q193036,acrobatics
Q235041,cash register
Q3410028,psychoanalyst
Q165233,network card
Q221205,sulfide
Q186011,stereochemistry
Q193410,oval
Q212920,home appliance
Q676050,old town
Q7544,wormhole
Q2570643,senate
Q191328,tonal language
Q7883956,suicide by hanging
Q275051,Sumerian religion
Q372948,hue
Q177323,developing country
Q192386,military science
Q505781,protoplanetary disk
Q204170,darkness
Q1381169,electronic data processing
Q842782,detective
Q168800,anaphylaxis
Q376644,invisible hand
Q3222002,lane
Q122224,birth control
Q182598,graph of a function
Q1364556,music award
Q27908,music education
Q773009,equality
Q2828200,Air France Madame
Q618536,candidate
Q4479242,class
Q25257,precipitation
Q847462,buffet
Q714886,regular polygon
Q59816,racial segregation
Q756102,open-air museum
Q59172,spinning
Q471719,market capitalization
Q216642,spade
Q1142483,tart
Q211251,shock absorber
Q935666,make-up artist
Q660071,silage
Q114403,depreciation
Q184485,performing arts
Q641118,personality
Q12482,set theory
Q25288,weight
Q190132,turbulence
Q104154042,follows
Q167346,botanical garden
Q218673,libration
Q1955280,music competition
Q88480,moat
Q806798,banker
Q183425,abdominal pain
Q13716,bra
Q28837,anesthesiologist
Q37602,hail
Q42486,wrestling
Q26868,collagen
Q928830,metro station
Q1964689,fictional city
Q193124,aerobic organism
Q130788,chronology
Q959782,archaeological excavation
Q127076,vomiting
Q47398,economic history
Q16271064,herpetologist
Q3264451,cardiologist
Q207930,languages of Africa
Q25833,placentals
Q18545066,stand-up comedian
Q154549,carpenter
Q1104153,canon
Q6918773,ribbon
Q864503,biologist
Q10082670,elder sister
Q271555,biryani
Q839954,archaeological site
Q897317,winegrower
Q208128,land reform
Q831663,military campaign
Q1075,color
Q7175,mycology
Q14970,tanker
Q253756,language death
Q841654,competition
Q278113,Vulnerable
Q5428384,face shield
Q854995,television advertisement
Q1949963,statistic
Q697279,petition
Q1137109,video game publisher
Q11210,coordinate system
Q55813,machine code
Q676459,bank account
Q535695,cellular network
Q115368,compass and straightedge construction
Q614806,suit
Q237525,technological singularity
Q527395,knot
Q736798,herd immunity
Q2755547,individual sport
Q373609,water pipeline
Q13204680,father-in-law
Q45089,dice
Q166849,magnifying glass
Q1250916,warrior
Q152355,cobbler
Q814722,participle
Q1033891,martial arts film
Q189964,felt
Q182661,excavator
Q848512,sound film
Q2551525,water reservoir
Q1786125,fish oil
Q3609,road bicycle racing
Q178605,continental drift
Q11438,solid
Q1576,cigar
Q215085,golem
Q161398,force majeure
Q182677,amphoterism
Q124441,washing machine
Q34394,belief
Q210,right angle
Q327321,bricklayer
Q898786,crystal system
Q180253,fuel cell
Q194523,nuclear fuel
Q748019,scientific society
Q44127,server
Q471447,foil
Q333921,magnetometer
Q1063336,tempo rubato
Q1134306,synthesis
Q560575,amateur astronomy
Q228044,blackjack
Q859257,fly
Q179550,software bug
Q120200,ephemeris
Q205302,simony
Q208476,solid angle
Q18343,dark energy
Q25956,space station
Q68833,bone fracture
Q169950,wildfire
Q338057,inverse element
Q1148747,payment
Q129238,startup company
Q13195,lime
Q215862,motocross
Q83620,thoroughfare
Q189125,transgender
Q1058617,private investigator
Q986539,oral literature
Q124282,dock
Q165596,cache
Q210377,gaucho
Q173091,transcendental number
Q221275,sewage treatment
Q27554677,former capital
Q185557,excretion
Q485100,illiteracy
Q1056194,plant cell
Q431603,advocacy group
Q12277,arch
Q166955,sophism
Q837171,financial services
Q134624,pollination
Q211959,metal detector
Q333291,abstract
Q7892,drinking water
Q514,anatomy
Q51929074,third person
Q730920,problem solving
Q473750,world economy
Q622852,domesticated animal
Q49389,tourism
Q178898,compressor
Q623525,rotunda
Q278485,hashtag
Q106046,synoptic gospels
Q188025,salt lake
Q190007,youth
Q152074,bankruptcy
Q53121,cycling
Q135005,phishing
Q216866,conjoined twins
Q917182,military academy
Q381364,programmable read-only memory
Q690182,contrast
Q770480,injustice
Q29175,derivative
Q755673,search algorithm
Q11033,mass media
Q262090,football
Q183731,memory card
Q2998430,interior
Q697327,lawsuit
Q182154,time travel
Q331769,mood
Q11652,frequency
Q58966,spinning wheel
Q336392,mercy
Q212930,online shopping
Q3711325,speed
Q6813432,military staff
Q941818,handheld game console
Q777671,sowing
Q174989,file system
Q221378,oil shale
Q209372,transport layer
Q23916,adventure video game
Q17945,public sphere
Q181022,gluttony
Q12167,malnutrition
Q14714,achene
Q694116,miller
Q901402,geographer
Q584049,ventilation
Q853516,human skin color
Q750955,radiochemistry
Q106106,wardrobe
Q1784021,artwork copy
Q160567,seismometer
Q184753,wound
Q50708,divisor
Q105726,urination
Q328720,armillary sphere
Q240313,battery
Q41534,starch
Q14748,table
Q11205,arithmetic
Q1391831,thread
Q180600,humidity
Q725434,imperator
Q3215290,artificial lake
Q319432,bazooka
Q190578,sedan
Q1207505,quality
Q192130,horseshoe
Q3230,atmosphere of Earth
Q167987,Tai chi chuan
Q143623,sterol
Q36507,millennium
Q105196,transplantation
Q1064904,major trauma
Q1622659,hockey
Q44559,exoplanet
Q489209,joint venture
Q41088690,isomerism
Q204037,natural logarithm
Q362165,school subject
Q3251738,steam
Q216425,teaspoon
Q45842,web crawler
Q15855449,stage magician
Q235693,sanitary napkin
Q32043,addition
Q210337,media player software
Q482612,Korean drama
Q878070,duty
Q49371,legislation
Q8424,aerodynamics
Q645928,biographical film
Q39552,pressure
Q127980,fat
Q7270,republic
Q1436963,payment card
Q641226,arena
Q462437,composition
Q474187,thirst
Q5404323,ethnicity
Q478798,image
Q276258,childhood
Q131254,stigma
Q144,dog
Q11426,metal
Q68,computer
